,N°,Compuesto,IUPAC,Formula,SMILE,Plantas a las que pertenecen,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
36,37,Nirtetralina,"(5R,6S,7S)-5-(3,4-dimetoxifenil)-4-metoxi-6,7-bis(metoximetil)-5,6,7,8-tetrahidrobenzo[f][1,3]benzodioxol",C24H30O7,COC[C@H]1CC2=CC3=C(C(=C2[C@H]([C@@H]1COC)C4=CC(=C(C=C4)OC)OC)OC)OCO3,8,5.897362056,5.897362056,0.00638322,-0.00638322,0.633340289,21.51612903,430.497,400.257,430.1991533,168,0,0.231016799,-0.492869972,0.492869972,0.231016799,0.870967742,1.64516129,2.322580645,16.70161454,9.661399516,2.419303973,-2.401121997,2.545911503,-2.358644356,5.638652086,0.056032704,3.257280059,1.937031574,926.6292105,21.95745468,18.72761704,18.72761704,15.15925826,10.35426206,10.35426206,7.847234226,7.847234226,6.281069267,6.281069267,4.991410225,4.991410225,-2.64,15680793.76,21.58670242,9.239762605,3.765394495,182.650957,33.15804068,0,22.99804733,12.54245414,0,0,0,0,0,0,6.066367068,47.5826379,32.30783458,27.93627459,33.15804068,0,0,0,11.83581209,12.33872767,55.55569394,40.95582275,0,28.74755917,23.68431477,0,28.74755917,0,55.55569394,15.89454753,11.83581209,22.60826052,24.26546827,0,0,0,64.61,0,0,0,24.54666044,30.46229943,29.04674827,5.563451492,35.54898771,12.13273414,12.13273414,33.15804068,39.70069701,0,0,0,3.377388222,3.916085173,8.142388117,0.841259527,1.413392105,8.442123174,0.5,31,0,7,1,1,2,0,2,0,2,3,0,7,0,7,1,8,0,0,0,0,0,6.434064701,4,3.6543,114.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,38,Nirantina,"6-[(2S,3S)-3-[(3,4-dimetoxifenil)metil]-4-metoxi-2-(metoximetil)butil]-4-metoxi-1,3-benzodioxol",C24H32O7,COC[C@@H](CC1=CC(=C(C=C1)OC)OC)[C@H](CC2=CC3=C(C(=C2)OC)OCO3)COC,8,5.590216991,5.590216991,0.210564082,0.210564082,0.506075852,14.22580645,432.513,400.257,432.2148034,170,0,0.231016506,-0.492869979,0.492869979,0.231016506,0.709677419,1.322580645,1.935483871,16.70154048,9.831208903,2.258500829,-2.268533771,2.423056093,-2.274164549,5.547612207,0.06965945,3.262089067,1.830275958,852.061723,22.2169677,18.93472382,18.93472382,15.12558476,10.2827304,10.2827304,7.560293079,7.560293079,5.59005341,5.59005341,4.066380909,4.066380909,-2.64,12034241.28,23.0321711,11.11337182,5.539526223,183.6567882,33.15804068,0,22.99804733,12.54245414,0,0,0,0,0,0,6.066367068,60.0698266,27.43335901,21.32939262,33.15804068,0,0,0,11.83581209,12.84164325,55.55569394,41.45873833,0,28.74755917,23.68431477,0,28.74755917,0,55.55569394,22.31536915,11.83581209,11.12690298,30.33183534,0,0,0,64.61,0,0,0,18.6287544,30.46229943,35.4675699,0,35.54898771,24.26546827,6.066367068,33.15804068,38.61167267,0,0,0,2.264476692,3.962366484,10.05826098,1.617126953,1.434901132,8.384528416,0.5,31,0,7,0,1,1,0,2,0,2,2,0,7,0,7,1,12,0,0,0,0,0,8.256938104,3,3.7515,116.803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,39,Quercetina," 2-(3,4-dihidroxifenil)-3,5,7-trihidroxicromen-4-ona",C15H10O7,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C=C2)=C1,8;9;10;13;17;18;19;20;22;23;26;28;29;31;33;34;39,12.14287431,12.14287431,0.133919123,-0.887671485,0.43419044,10.90909091,302.238,292.158,302.0426527,112,0,0.238288582,-0.507678166,0.507678166,0.238288582,0.818181818,1.545454545,2.227272727,16.35975552,10.08657031,2.188859267,-2.078959295,2.370305384,-2.024797344,5.877619798,0.403199037,2.447729534,2.377257968,956.2426828,16.01614338,10.9393159,10.9393159,10.37991785,6.123140835,6.123140835,4.650442557,4.650442557,3.172955626,3.172955626,2.135461645,2.135461645,-3.35,86490.52307,13.6247375,4.589937947,1.956867218,122.1076695,29.94978791,22.46826802,17.25927109,11.17830223,0,0,4.794537184,0,0,0,0,18.19910121,17.69618563,0,29.94978791,10.96924436,0,0,0,0,0,40.55516292,0,40.07125808,5.428790392,0,28.74755917,0,25.53263697,0,0,0,39.54352346,0,22.29294327,0,131.36,22.67732589,30.32717416,0,33.79196693,0,24.26546827,6.066367068,0,0,0,4.417150937,5.353238851,0,12.14287431,47.6336122,-0.889988662,-2.713941746,5.640871718,0,0,0,0,22,5,7,0,0,0,0,2,1,3,0,0,7,5,7,1,1,0,0,0,0,0,2.842577257,3,1.988,76.244,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,40,Quercitrina,"2-(3,4-dihidroxifenil)-5,7-dihidroxi-3-[(2S,3R,4R,5R,6S)-3,4,5-trihidroxi-6-metiloxan-2-il]oxicromen-4-ona",C21H20O11,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,8,13.22675863,13.22675863,0.065799582,-1.744646059,0.275988395,25.6875,448.38,428.22,448.1005615,170,0,0.238632695,-0.507678166,0.507678166,0.238632695,0.875,1.59375,2.28125,16.70511495,9.998239449,2.435493055,-2.383868201,2.388491405,-2.580314139,5.879815795,-0.267859191,2.730446094,1.921103948,1234.623492,23.31710829,16.53699102,16.53699102,15.07829516,9.496045235,9.496045235,7.430180187,7.430180187,5.197657211,5.197657211,3.45690476,3.45690476,-3.51,11201188.2,21.71183889,7.87596448,3.564322613,179.107049,49.63656861,40.78016719,17.25927109,17.46832895,0,0,4.794537184,0,0,0,0,25.12283841,17.69618563,6.103966388,49.63656861,10.96924436,0,0,0,37.62962948,0,40.55516292,0,40.07125808,10.16565335,0,28.74755917,0,66.45158404,4.736862954,0,6.9237372,39.54352346,0,22.29294327,0,190.28,59.13273001,40.54022895,0,28.0424551,0,24.26546827,12.99010427,0,0,0,13.89087684,16.63095501,0,13.22675863,69.24251438,-1.052968579,-2.797314743,5.510405463,-7.350158673,1.423141852,0,0.285714286,32,7,11,0,1,1,0,2,1,3,5,0,11,7,11,2,3,0,1,1,0,0,5.343802246,4,0.4887,107.5626,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,41,Isoquercitina,"2-(3,4-dihidroxifenil)-5,7-dihidroxi-3-[(2R,3S,4R,5R,6S)-3,4,5-trihidroxi-6-(hidroximetil)oxan-2-il]oxicromen-4-ona",C21H20O12,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O[C@@H]4[C@H]([C@@H]([C@@H]([C@@H](O4)CO)O)O)O)O)O)O,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,42,Rutina,"2-(3,4-dihidroxifenil)-5,7-dihidroxi-3-[(2S,3R,4S,5S,6R)-3,4,5-trihidroxi-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihidroxi-6-metiloxan-2-il]oximetil]oxan-2-il]oxicromen-4-ona",C27H30O16,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,8;9;10;14;20;22;23;23;25;28;31,13.56998897,13.56998897,0.031297856,-1.968199406,0.139517843,33,610.521,580.281,610.1533849,234,0,0.238632695,-0.507678166,0.507678166,0.238632695,0.744186047,1.418604651,2.11627907,16.73162185,9.983623706,2.47478166,-2.41953101,2.39155951,-2.613941406,5.879941461,-0.31829394,2.956343663,1.478468714,1539.635063,31.32517998,22.28898652,22.28898652,20.27667246,13.00800544,13.00800544,10.27821601,10.27821601,7.290919756,7.290919756,4.838536348,4.838536348,-3.71,2312654061,30.73814039,11.75896442,5.671893026,240.9006623,74.4298767,65.19603274,23.54929781,17.46832895,0,0,4.794537184,0,0,0,0,25.12283841,17.69618563,12.71084835,74.4298767,10.96924436,0,0,0,68.33552176,6.606881965,40.55516292,0,40.07125808,10.16565335,0,28.74755917,0,119.0839405,14.21058886,0,6.9237372,39.54352346,0,22.29294327,0,269.43,113.3414877,55.85981113,0,11.14647163,0,24.26546827,12.99010427,0,0,0,23.36460275,27.80214929,0,13.56998897,101.4038637,-1.348315886,-3.331574146,5.235839141,-16.15032966,0.818378549,0,0.444444444,43,10,16,0,2,2,0,2,1,3,10,0,16,10,16,3,6,0,2,2,0,0,8.405783707,5,-1.6871,140.196,0,6,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,43,Corilagina,"[(1S,19R,21S,22R,23R)-6,7,8,11,12,13,22,23-octahidroxi-3,16-dioxo-2,17,20-trioxatetraciclo[17.3.1.04,9.010,15]tricosa-4,6,8,10,12,14-hexaen-21-il] 3,4,5-trihidroxibenzoato",C27H22O18,O[C@@H]1[C@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c(O)cc3C(=O)O[C@@H]1[C@@H](O)[C@@H](O2)OC(=O)c1cc(O)c(O)c(O)c1,8,13.4543306,13.4543306,0.507732997,-2.216166227,0.09789164,22.93333333,634.455,612.279,634.0806139,238,0,0.340315981,-0.50414374,0.50414374,0.340315981,0.666666667,1.155555556,1.688888889,16.72854658,9.910891785,2.497783151,-2.409116515,2.525162944,-2.60723492,6.079659357,-0.283916032,2.990173991,1.610531698,1725.386202,33.06566695,22.18034679,22.18034679,21.11487642,12.53607071,12.53607071,9.791842519,9.791842519,6.990348248,6.990348248,4.711893201,4.711893201,-5.85,5029687456,30.60266519,11.01102654,5.071374802,248.4937267,75.11925316,18.81481474,52.45451561,17.7890504,0,17.90791586,0,14.38361155,0,0,0,24.26546827,11.12690298,16.69035448,89.50286471,17.90791586,0,0,0,30.70589228,6.606881965,40.95582275,0,62.87250948,0,0,51.7456065,0,111.3924915,18.94745182,0,31.07396603,24.26546827,0,11.12690298,0,310.66,134.7835541,70.5554129,0,0,24.26546827,0,0,0,0,0,18.94745182,20.82004271,0,39.38653067,112.5994637,-4.123688114,-14.5102661,2.452065793,-10.17684115,-0.947307556,0,0.222222222,45,11,18,0,2,2,0,3,0,3,5,2,18,11,18,2,2,0,1,1,0,0,7.488150194,5,-0.2965,138.8793,0,2,2,0,0,0,0,9,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,44,Geraniína (Geraniin),"3,4,5-trihidroxibenzoato de [(1R,7R,8S,26R,28S,29R,38R)-1,13,14,15,18,19,20,34,35,39,39-undecahidroxi-2,5,10,23,31-pentaoxo-6,9,24,27,30,40-hexaoxaoctaciclo[34.3.1.04,38.07,26.08,29.011,16.017,22.032,37]tetraconta-3,11,13,15,17,19,21,32,34,36-decaen-28-ilo]",C41H28O27,O=C1O[C@H]2[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC[C@H]2O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]3OC(=O)c2cc(O)c(O)c3c2[C@@H]2C1=CC(=O)[C@](O)(O3)C2(O)O,8,14.61353818,14.61353818,0.263621372,-3.978588757,0.049056292,25.69117647,952.648,924.424,952.0817956,354,0,0.340359764,-0.50414374,0.50414374,0.340359764,0.573529412,1.073529412,1.676470588,16.75015286,9.699662008,2.700481559,-2.488669013,2.585893589,-2.698137252,6.097468719,-0.339258615,3.278915791,1.295387592,3018.789842,49.37470355,33.20352812,33.20352812,31.86873216,19.0587064,19.0587064,15.45433139,15.45433139,11.52635963,11.52635963,8.253944608,8.253944608,-8.92,3.94953E+14,44.29019518,14.79867856,6.205738626,372.9711646,104.6494242,12.71084835,63.95353928,35.42577356,5.787111153,35.63363759,4.794537184,23.97268592,0,0,0,36.40785545,16.69035448,33.74481654,133.4166473,35.62977139,0,0,0,48.19802063,6.606881965,69.79821744,0,80.12104498,4.736862954,0,68.994142,0,156.0081515,38.01025209,0,52.91331224,41.98095998,0,11.12690298,0,450.25,203.946081,100.2586066,0,6.076020107,30.33183534,0,0,0,0,0,33.15804068,38.91359979,0,84.82760875,150.1897187,-8.475586821,-36.50185767,2.321977725,-12.12952229,-1.312604894,0,0.219512195,68,14,27,1,4,5,0,4,0,4,7,6,27,14,27,4,2,0,1,1,0,0,9.638770025,9,-1.1015,204.2982,0,3,0,0,0,0,0,11,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,45,Filantina (Phyllanthin),"4-[(2S,3S)-3-[(3,4-dimetoxifenil)metil]-4-metoxi-2-(metoximetil)butil]-1,2-dimetoxibenceno",C24H34O6,COC[C@@H](Cc1ccc(OC)c(OC)c1)[C@@H](COC)Cc1ccc(OC)c(OC)c1,8,5.56789207,5.56789207,0.264951473,0.264951473,0.489544233,12.86666667,418.53,384.258,418.2355388,166,0,0.160486761,-0.492869979,0.492869979,0.160486761,0.533333333,0.9,1.2,16.51303864,9.831862797,2.235917663,-2.268636099,2.321717986,-2.274109487,5.436782156,0.069670735,2.777476417,2.246808095,710.7866247,21.93251065,18.89671902,18.89671902,14.59110992,9.992837613,9.992837613,7.217762581,7.217762581,5.319837294,5.319837294,3.772209296,3.772209296,-2.44,4521734.384,23.83520812,12.29981566,6.277041197,179.5490741,28.42117772,0,22.99804733,0,0,0,0,0,0,0,12.13273414,60.0698266,27.43335901,28.43919017,28.42117772,0,0,0,11.83581209,12.84164325,55.87254918,47.52510539,0,22.99804733,18.94745182,0,22.99804733,0,55.87254918,22.31536915,11.83581209,11.12690298,36.39820241,0,0,0,55.38,0,0,0,11.83581209,13.21376393,35.83969058,11.12690298,42.65878525,24.26546827,12.13273414,28.42117772,32.77649128,0,0,0,2.339100986,3.442236376,12.09076357,1.685536817,1.269168556,10.06336908,0.5,30,0,6,0,0,0,0,2,0,2,2,0,6,0,6,0,13,0,0,0,0,0,9.772288868,2,4.0314,117.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,46,Nirurina (Nirurin),"6,7-dihidroxi-2-(4-hidroxifenil)-8-(3-metilbut-2-enil)-5-[(2S,3R,4S,5S,6R)-3,4,5-trihidroxi-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihidroxi-6-metiloxan-2-il]oximetil]oxan-2-il]oxi-2,3-dihidrocromen-4-ona",C32H40O15,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(C(=C(C4=C3C(=O)CC(O4)C5=CC=C(C=C5)O)CC=C(C)C)O)O)O)O)O)O)O)O,8,13.69318385,13.69318385,0.008546152,-1.92901685,0.133683225,33.89361702,664.657,624.337,664.2367206,258,0,0.228976464,-0.507966607,0.507966607,0.228976464,0.85106383,1.489361702,2.14893617,16.73173417,9.91203795,2.482321218,-2.422452637,2.52444438,-2.613076318,6.04253464,-0.318315378,3.032467875,1.446867065,1472.079376,34.31674381,25.83333675,25.83333675,22.18735606,15.09556319,15.09556319,12.16719571,12.16719571,8.478145473,8.478145473,5.661770321,5.661770321,-3.51,15202524511,34.8143692,13.91930019,6.898212873,268.9575951,69.64306132,65.89420626,23.57229534,12.03953856,0,0,4.794537184,0,0,0,23.78185877,44.88821885,5.563451492,19.13166998,74.43759851,5.783244946,0,0,0,101.1286058,6.606881965,52.60494739,0,28.74755917,9.473725908,0,28.74755917,0,119.760658,20.63141048,0,54.78089127,35.91459291,0,0,0,245.29,97.15441336,50.75328374,0,35.4675699,5.563451492,5.57310453,19.05647134,18.20875424,13.8474744,0,23.68431477,28.5509215,0,13.69318385,94.19761227,1.26364447,-2.76450913,6.016184183,-15.13242367,4.508719854,0,0.53125,47,9,15,0,3,3,0,2,0,2,11,0,15,9,15,3,8,0,2,2,0,1,10.31046077,5,0.0491,158.9467,0,6,6,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,47,Epicatequina,"2R,3R)-2-(3,4-dihidroxifenil)-3,4-dihidro-2H-cromeno-3,5,7-triol",C15H14O6,O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1,9;10,10.18034297,10.18034297,0.142543199,-0.933439153,0.509592731,20.61904762,290.271,276.159,290.0790382,110,0,0.157304618,-0.507679031,0.507679031,0.157304618,0.904761905,1.666666667,2.380952381,16.50607245,9.936487727,2.319067489,-2.309886244,2.421834374,-2.298533227,5.515692784,0.019664509,2.421471333,1.997881017,696.8034648,15.14589989,10.89287493,10.89287493,9.952397498,6.368997045,6.368997045,4.999660466,4.999660466,3.514868398,3.514868398,2.465957939,2.465957939,-2.6,57289.59026,13.38615917,4.746545499,2.295403168,119.6622065,30.26949993,23.35250189,11.49902367,0,0,0,0,0,0,0,6.066367068,17.69618563,24.11700725,6.103966388,30.26949993,0,0,0,0,18.6287544,0,41.45873833,0,28.74755917,4.736862954,0,28.74755917,0,31.63660336,6.420821623,0,17.23086937,30.33183534,0,0,0,110.38,12.20793278,25.53263697,0,35.16838079,11.12690298,0,30.33183534,0,0,0,4.736862954,5.624025888,0,0,48.29762027,0.894289756,-0.588932771,6.666153275,-1.559823082,0,0,0.2,21,5,6,0,1,1,0,2,0,2,2,0,6,5,6,1,1,0,0,0,0,0,3.025619693,3,1.5461,72.623,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,48,Isovitexina,"5,7-dihidroxi-2-(4-hidroxifenil)-6-[(2S,3R,4R,5S,6R)-3,4,5-trihidroxi-6-(hidroximetil)oxan-2-il]cromen-4-ona",C21H20O10,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,9,12.74163921,12.74163921,0.019764634,-1.768184903,0.299596203,26.25806452,432.381,412.221,432.1056468,164,0,0.196592066,-0.507966213,0.507966213,0.196592066,0.903225806,1.580645161,2.225806452,16.54487167,9.893871323,2.456419614,-2.400145153,2.441569143,-2.54786665,5.878227119,-0.231795521,2.731321635,1.85243689,1167.479386,22.4468648,15.91319978,15.91319978,14.72245311,9.351746287,9.351746287,7.302372546,7.302372546,5.339201974,5.339201974,3.693174246,3.693174246,-3.15,8193790.101,21.09616156,7.836127626,3.497753397,173.9935038,44.89970565,64.49785921,5.428790392,0,0,0,4.794537184,0,0,0,0,24.26546827,17.69618563,12.17033346,44.89970565,10.96924436,0,0,0,30.51983194,6.606881965,52.18498148,0,28.57223441,5.428790392,0,17.2485355,0,66.76843928,4.736862954,0,11.66741788,45.60989053,0,22.29294327,0,181.05,59.61797945,40.54022895,0,22.47900361,5.563451492,12.13273414,24.26546827,0,0,0,9.154013891,11.03047558,0,12.74163921,69.97449803,-0.741245947,-1.186196841,7.996040455,-7.948822156,-0.699721661,0,0.285714286,31,7,10,0,1,1,0,2,1,3,5,0,10,7,10,2,3,0,1,1,0,0,5.332652079,4,0.0917,105.6346,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,49,Charantin,"(2R,3R,4S,5S,6R)-2-[[(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-etil-6-metilheptan-2-il]-10,13-dimetil-2,3,4,7,8,9,11,12,14,15,16,17-dodecahidro-1H-ciclopenta[a]fenantren-3-il]oxi]-6-(hidroximetil)oxano-3,4,5-triol;( 2R,3R,4S,5S,6R)-2-[[(3S,8S,9S,10R,13R,14S,17R)-17-[(2R,5R)-5-etil-6-metilhept-6-en-2-il]-10,13-dimetil-2,3,4,7,8,9,11,12,14,15,16,17-dodecahidro-1H-ciclopenta[a]fenantren-3-il]oxi]-6-(hidroximetil)oxano-3,4,5-triol",C70H118O12,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)C)C)C(C)C. CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)C)C)C(=C)C,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
