Numero,Compuesto bioactivo,Base de datos,SMILES,TIPO DE SMILES,Actividad anticancerígena,Enlaces del artículo de PubMed
,,,,,,
13,Ginsenoside Rg3,Pubchem,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O)C)O)C,Isomérico,Disminución de resistencia hacia los fármacos en células tumorales.,https://pubmed.ncbi.nlm.nih.gov/36167294/
,,,,,,
14,Ginsenoside Rk1,PubChem,CC(=CCCC(=C)[C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O)C)C,Isomérico,"Reprime significativamente el crecimiento tumoral con baja toxicidad para los órganos principales. Además, Rk1 inhibió drásticamente la proliferación celular, la formación de colonias, promovió la liberación de LDH e indujo la detención de la fase G0 / G1.",https://pubmed.ncbi.nlm.nih.gov/30797898/
,,,,,,
15,Ginsenoside Rg5,Pubchem,CC(=CC/C=C(\C)/[C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O)C)C,Isomérico,"Inhibe la activación de NF-_B al suprimir su quinasa 1 activada por el factor de crecimiento transformante _ en células HeLa o A549 tratadas con TNF-_, en comparación con el grupo control sin tratamiento. Además, el ginsenósido Rg5 atenuó la expresión de EphA2 por degradación lisosomal, lo que inhibió su fosforilación. Asimismo, el ginsenósido Rg5 suprimió la migración de células cancerosas inducida por citocinas inflamatorias.",https://pubmed.ncbi.nlm.nih.gov/33907562/
,,,,,,
16,Ginsenoside Rh2,PubChem,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)O)C)O)C,Isomérico,"Retrasa el crecimiento y la metástasis del cáncer de mama a través del aumento de la función citotóxica de las células NK, como lo validó la liberación elevada de perforina, granzima B e interferón-_ (IFN-_).",https://pubmed.ncbi.nlm.nih.gov/38043385/
,,,,,,
17,Ginsenoside Rh1,PubChem,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(C[C@@H]([C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)O)C)O)C,Isomérico,Suprime el crecimiento tumoral.,https://pubmed.ncbi.nlm.nih.gov/35325393/
,,,,,,
18,Panaxynol,PubChem,CCC/C=C\CC#CC#C[C@@H](C=C)O,Isomérico,"Reduce la tumorigénesis ( P ≤ 0,05). Esta mejora puede reflejar el efecto restaurador del PA sobre la función de la barrera intestinal.",https://pubmed.ncbi.nlm.nih.gov/37489869/
,,,,,,
19,Timoquinona,PubChem,CC1=CC(=O)C(=CC1=O)C(C)C,Canónico,Efectos inhibidores contra las líneas celulares de cáncer de mama y colorrectal.,https://pmc.ncbi.nlm.nih.gov/articles/PMC10236984/
,,,,,,
20,Timohidroquinona,PubChem,CC1=CC(=C(C=C1O)C(C)C)O,Canónico,"Actividad antioxidante y oxidante selectiva, la interferencia con la estructura del ADN, la afectación de moléculas/vías de señalización cancerígena y la inmunomodulación.","https://www.oncotarget.com/article/17206/text/#:~:text=Tambi%C3%A9n%20inhibe%20la%20expresi%C3%B3n%20de,que%20finalmente%20induce%20la%20apoptosis.&text=Aumenta%20la%20apoptosis%20temprana%20a,la%20regulaci%C3%B3n%20negativa%20de%20Bax.&text=Genera%20ROS%20para%20inducir%20da%C3%B1o%20oxidativo%20y%20apoptosis.&text=La%20actividad%20antioxidante%20controla%20el%20crecimiento%20de%20las%20c%C3%A9lulas%20cancerosas.&text=Inhibe%20la%20s%C3%ADntesis%20y%20proliferaci%C3%B3n%20del%20ADN.&text=Regula%20negativamente%20la%20expresi%C3%B3n%20de,v%C3%ADas%20JNK)%20y%20p38%20MAPK.&text=Inhibe%20la%20proliferaci%C3%B3n%20celular%20e,fosforilaciones%20de%20Akt%20y%20JNK.&text=Figura%202:%20Mecanismos%20importantes%20de,muestra%20actividad%20antioxidante%20y%20quimiopreventiva"
,,,,,,
21,p-cimeno,PubChem,CC1=CC=C(C=C1)C(C)C,Canónico,Sus efectos anticancerígenos se relacionan con mecanismos como la inhibición de la apoptosis y la detención del ciclo celular.,"https://pubmed.ncbi.nlm.nih.gov/33984423/#:~:text=Numerosos%20estudios%20han%20demostrado%20las,%2C%20antitumorales%2C%20antibacterianas%20y%20antif%C3%BAngicas."
22,Carvacrol,PubChem,CC1=C(C=C(C=C1)C(C)C)O,Canónico,"Inhibir la viabilidad y proliferación de células de cáncer de pulmón (línea celular A549), además de inducir características apoptóticas tempranas ( Koparal y Zeytinoglu, 2003 ) y reducir la viabilidad de las líneas celulares A549, H460 ( Jung et al., 2018 ) y H1299, siendo esta última resistente a la epirubicina ( Ozkan y Erdogan, 2012 ).",https://pmc.ncbi.nlm.nih.gov/articles/PMC8293693/
,,,,,,
23,4-terpineol,PubChem,CC1=CCC(CC1)(C(C)C)O,Canónico,"Exhibe efectos anticancerígenos en las células Hep-G2 al inducir apoptosis, fragmentación del ADN, inhibición de la migración celular y arresto del ciclo celular sub-G1.",https://pubmed.ncbi.nlm.nih.gov/27837623/
,,,,,,
24,Anetol,PubChem,C/C=C/C1=CC=C(C=C1)OC,Isomérico,Inhibición de células cancerígenas y su disminución de crecimiento celular.,"https://www.sciencedirect.com/science/article/pii/S0753332224013350#:~:text=Regulaci%C3%B3n%20de%20las%20citocinas%20inflamatorias,el%20microambiente%20tumoral%20%5B14%5D%20."
25,Sesquiterpeno,PubChem,CC(C)[C@H]1[C@@H](CC(=C)[C@@H]2[C@@H]1[C@@H](CC2)C(=O)C)O,Isomérico,"Modulación de la actividad del factor nuclear kappa (NF-kB), la inhibición de la peroxidación lipídica y el retraso en la producción de especies reactivas de oxígeno y nitrógeno (ROS&RNS).","https://www.sciencedirect.com/science/article/abs/pii/S1043661820314730#:~:text=Este%20sesquiterpeno%20tambi%C3%A9n%20inhibe%20la,inducci%C3%B3n%20de%20apoptosis%20%5B%2031%20%5D."
26,_-pineno,PubChem,CC1=CCC2CC1C2(C)C,Canónico,"Ejerce efectos anticancerígenos en las células PA-1 al promover la citotoxicidad, la supresión de la progresión de la secuencia celular junto con la muerte celular programada.","https://pmc.ncbi.nlm.nih.gov/articles/PMC6743669/#:~:text=Conclusiones,con%20la%20muerte%20celular%20programada."
,,,,,,
27,Timol,PubChem,CC1=CC(=C(C=C1C2(C3=CC=CC=C3S(=O)(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,Canónico,"Promueve una reducción en la viabilidad celular en las líneas celulares A549, H460 y H1299 ( Pathania et al., 2013 ; Coccimiglio et al., 2016 ; De La Chapa et al., 2018 ; Balan et al., 2021 ).",https://pmc.ncbi.nlm.nih.gov/articles/PMC8293693/
,,,,,,
28,Crisofanol,Pubchem,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,Canónico,"Efectos anticancerígenos son incluyendo la inducción de la detención del ciclo celular , la promoción de la apoptosis , la regulación de la autofagia y el inicio de la necrosis en varias líneas celulares cancerosas .","https://www.sciencedirect.com/science/article/pii/S104366182400447X#:~:text=El%20crisofanol%20ha%20demostrado%20un,c%C3%A1ncer%20y%20las%20v%C3%ADas%20metab%C3%B3licas.&text=Figura%201%20.,de%20la%20actividad%20del%20crisofanol.&text=Tabla%202%20.,diferentes%20l%C3%ADneas%20de%20c%C3%A9lulas%20cancerosas."
29,Emodina,Pubchem,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,Canónico,"Agente inhibidor de amplio espectro de las células cancerosas, se ha detallado en muchas vías biológicas. En las células cancerosas, estos mecanismos moleculares consisten en suprimir el crecimiento y la proliferación celular mediante la atenuación de la señalización de crecimiento oncogénico.","https://pmc.ncbi.nlm.nih.gov/articles/PMC8198870/#:~:text=La%20propiedad%20anticancer%C3%ADgena%20de%20la,de%20f%C3%A1rmacos%20en%20la%20biodisponibilidad."
,,,,,,
30,Aloe-emodina,Pubchem,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,Canónico,"Los efectos más notables contra el cáncer incluyen la inhibición de la proliferación, migración e invasión celular; la detención del ciclo celular; la inducción de la muerte celular; las perturbaciones redox y de la membrana mitocondrial; y la modulación de la señalización inmunitaria.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6426255/
,,,,,,
31,Catequina,Pubchem,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,Isomérico,"Inhibe el crecimiento celular e inducen la muerte celular, lo que las convierte en una herramienta potencialmente valiosa en la prevención del cáncer.","https://onlinelibrary.wiley.com/doi/full/10.1002/fsn3.70169#:~:text=Las%20catequinas%20tienen%20numerosas%20ventajas,y%20el%20tratamiento%20del%20c%C3%A1ncer."
,,,,,,
32,Kaempferol,Pubchem,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,Canónico,"Los mecanismos de acción incluyen la apoptosis, la detención del ciclo celular en la fase G2/M, la regulación negativa de los marcadores relacionados con la transición epitelio-mesenquimal (EMT) y las vías de señalización de la fosfoinosítido 3-quinasa/proteína quinasa B.","https://pmc.ncbi.nlm.nih.gov/articles/PMC6631472/#:~:text=La%20prevenci%C3%B3n%20del%20c%C3%A1ncer%20se,mecanismos%20de%20acci%C3%B3n%20del%20kaempferol."
,,,,,,
33,Proantocianidina,Pubchem,COC1=C(C=C(C=C1O)C2[C@@H](CC3=C(O2)C(=C(C=C3O)O)[C@@H]4[C@H]([C@H](OC5=CC(=CC(=C45)O)O)C6=CC=C(C=C6)O)O)O)O,Isomérico,Causa la muerte celular por apoptosis a través de vías de caspasa en la línea celular de cáncer.,"https://pmc.ncbi.nlm.nih.gov/articles/PMC4615409/#:~:text=La%20apoptosis%2C%20una%20muerte%20celular,c%C3%A1ncer%20colorrectal%20humano%20SNU%2DC4."
34,Ácido oleico,Pubchem,CCCC/C=C\CCCC(=O)O,Isomérico,Inhibidor de la proliferación de células tumorales.,https://scielo.isciii.es/scielo.php?script=sci_abstract&pid=S0212-16112012000600010
,,,,,,
35,Ácido linolénico,Pubchem,CC/C=C\C/C=C\C/C=C\CCCC(=O)O,Isomérico,Inhibe el crecimiento celular e inducen la muerte celular.,"https://pmc.ncbi.nlm.nih.gov/articles/PMC8076465/#:~:text=Antecedentes%20y%20objetivo:,perfiles%20hematol%C3%B3gicos%2C%20bioqu%C3%ADmicos%20e%20histopatol%C3%B3gicos"
36,Filtetralina,PubChem,COC[C@H]1CC2=CC(=C(C=C2[C@H]([C@@H]1COC)C3=CC(=C(C=C3)OC)OC)OC)OC,Isomérico,"Ejerció efectos citotóxicos en células K-562 con 40,3, 66,0, 62,0, 61,0 o 24,1% de muerte celular, respectivamente. ",https://www.researchgate.net/publication/6741904_The_Cytotoxic_Effect_and_the_Multidrug_Resistance_Reversing_Action_of_Lignans_from_Phyllanthus_amarus 
37,Nirtetralina,PubChem,COC[C@H]1CC2=CC3=C(C(=C2[C@H]([C@@H]1COC)C4=CC(=C(C=C4)OC)OC)OC)OCO3,Isomérico,Se reporta actividad citotóxica in vitro contra líneas de carcinoma de células escamosas orales; induce apoptosis y detiene la proliferación en estudios celulares.,https://pmc.ncbi.nlm.nih.gov/articles/PMC12063135/ 
38,Nirantina,PubChem,COC[C@@H](CC1=CC(=C(C=C1)OC)OC)[C@H](CC2=CC3=C(C(=C2)OC)OCO3)COC,Isomérico,"Ejerció efectos citotóxicos en células K-562 con 40,3, 66,0, 62,0, 61,0 o 24,1% de muerte celular, respectivamente. ",https://www.researchgate.net/publication/6741904_The_Cytotoxic_Effect_and_the_Multidrug_Resistance_Reversing_Action_of_Lignans_from_Phyllanthus_amarus
39,Quercetina,ChEBI,OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C=C2)=C1,Canónico,Inhibe proliferación y induce apoptosis en múltiples líneas tumorales; efectos antiangiogénicos y modulador de ROS y vías de señalización relacionadas con cáncer.,PubMed: https://pubmed.ncbi.nlm.nih.gov/30039547/
,,,,,,Review: https://pubmed.ncbi.nlm.nih.gov/36233051/
,,,,,,Review (breast cancer): https://pubmed.ncbi.nlm.nih.gov/32097663/. 
40,Quercitrina,ChEMBL,C[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,Isomérico,Actividad antiproliferativa y proapoptótica reportada en estudios in vitro; potencial quimiopreventivo asociado a metabolitos de quercetina.,PubMed review (quercetin family): https://pubmed.ncbi.nlm.nih.gov/30039547/  estudios sobre quercitrin en PubMed (ejemplos experimentales).
41,Isoquercitina,PubChem,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O[C@@H]4[C@H]([C@@H]([C@@H]([C@@H](O4)CO)O)O)O)O)O)O,Isomérico,"Efectos antitumorales documentados: inhibición del crecimiento celular, modulación de vías apoptóticas y señalización (Wnt, MAPK); mejor biodisponibilidad que el aglicón.",Review/estudio: https://pubmed.ncbi.nlm.nih.gov/27081641/
,,,,,,estudio reciente: https://pubmed.ncbi.nlm.nih.gov/39427296/. 
42,Rutina,DrugBank,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(OC4=CC(O)=CC(O)=C4C3=O)C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Isomérico,"Induce apoptosis, modula estrés oxidativo y puede sensibilizar células tumorales a quimioterapia; evidencia in vitro e in vivo y varios reviews.",Review: https://pubmed.ncbi.nlm.nih.gov/34484407/  review: https://pubmed.ncbi.nlm.nih.gov/33054344/. 
43,Corilagina,ChEBI,O[C@@H]1[C@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c(O)cc3C(=O)O[C@@H]1[C@@H](O)[C@@H](O2)OC(=O)c1cc(O)c(O)c(O)c1,Isomérico,Ellagitannina con actividad antitumoral: induce detención del ciclo celular y apoptosis; modula STAT3/JAK y MAPK según tipo celular.,Review/estudios: https://pubmed.ncbi.nlm.nih.gov/31546767/  estudio: https://pubmed.ncbi.nlm.nih.gov/35234310/. 
44,Geraniína (Geraniin),ChEMBL,O=C1O[C@H]2[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)OC[C@H]2O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]3OC(=O)c2cc(O)c(O)c3c2[C@@H]2C1=CC(=O)[C@](O)(O3)C2(O)O,Isomérico,"Inhibe proliferación, induce apoptosis y suprime migración/invasión en varias líneas tumorales; actividad demostrada in vivo en xenoinjertos.",Estudios: https://pubmed.ncbi.nlm.nih.gov/32427739/  https://pubmed.ncbi.nlm.nih.gov/28590547/  review: https://pubmed.ncbi.nlm.nih.gov/38950635/. 
45,Filantina (Phyllanthin),ChEMBL,COC[C@@H](Cc1ccc(OC)c(OC)c1)[C@@H](COC)Cc1ccc(OC)c(OC)c1,Isomérico,"Compuesto lignanoide con estudios que muestran sinergia con doxorrubicina y actividad antiproliferativa en células resistentes (ej., mama resistente).",Estudio/PMC: https://pubmed.ncbi.nlm.nih.gov/37576627/ 
,,,,,,texto completo: https://pmc.ncbi.nlm.nih.gov/articles/PMC10413485/. 
46,Nirurina (Nirurin),PubChem,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(C(=C(C4=C3C(=O)CC(O4)C5=CC=C(C=C5)O)CC=C(C)C)O)O)O)O)O)O)O)O,Isomérico,Extractos de Phyllanthus niruri (asociados al nombre “niruri”/“nirurina” en trabajos etnofarmacológicos) muestran actividad antitumoral in vitro y en modelos preclínicos; inducen apoptosis y reducen viabilidad celular en varias líneas tumorales.,https://pubmed.ncbi.nlm.nih.gov/20192590/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/23239439/ 
47,Epicatequina,DrugBank,O[C@@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC(O)=C(O)C=C1,Isomérico,Actividad anticancerígena reportada in vitro e in vivo: induce apoptosis y reduce proliferación en líneas tumorales; evidencia en revisiones y estudios experimentales.,https://pubmed.ncbi.nlm.nih.gov/26180580/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/32106523/ 
48,Isovitexina,ChEMBL,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,Isomérico,Actividad anticancerígena in vitro: inhibe 'stemness' y promueve apoptosis; estudios en colon y hepatocarcinoma.,https://pubmed.ncbi.nlm.nih.gov/32329692/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/36984844/ 
49,Charantin,PubChem,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)C)C)C(C)C. CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)C)C)C(=C)C,Isomérico,Compuesto de Momordica charantia con actividad anticancerígena reportada en extractos y metabolitos relacionados; efectos antiproliferativos en varios modelos.,https://pubmed.ncbi.nlm.nih.gov/32726914/ 
50,Momordicina I,ChEBI,CC(C)=CC(O)CC(C)C1CCC2(C)C3C(O)C=C4C(CCC(O)C4(C)C)C3(C=O)CCC12C,Canónico,"Momordicine-I muestra actividad antitumoral (in vitro e in vivo), inhibe crecimiento de tumores y señalización c-Met en cáncer de cabeza y cuello.",https://pubmed.ncbi.nlm.nih.gov/33801016/
,,,,,,
51,Momordicina II,PubChem,C[C@H](CC(C=C(C)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)[C@H]2CC[C@@]3([C@@]2(CC[C@@]4([C@H]3[C@H](C=C5[C@H]4CC[C@@H](C5(C)C)O)O)C=O)C)C,Isomérico,Compuestos/extractos de Momordica spp. (incluyendo momordicina y otros glicósidos) han mostrado actividad antiproliferativa y proapoptótica en líneas celulares cancerosas; también hay estudios que reportan sinergia con quimioterapéuticos y reducción de migración/invasión en modelos preclínicos.,https://pmc.ncbi.nlm.nih.gov/articles/PMC3471438/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/37550432/ 
52,Isorhamnetina,ChEBI,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,Canónico,"Anticancerígeno: induce apoptosis, arresto del ciclo celular y reduce metastasis en varios estudios; revisiones disponibles.",https://pubmed.ncbi.nlm.nih.gov/40806510/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/32502837/ 
,Astilbina,ChEMBL,C[C@@H]1O[C@@H](O[C@H]2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,Isomérico,Actividad anticancerígena reportada in vitro (inducción de apoptosis y reducción de proliferación en líneas OSCC y gástricas).,https://pubmed.ncbi.nlm.nih.gov/39196525/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/39583813/ 
,Miricitrina,ChEBI,C[C@@H]1O[C@@H](Oc2c(oc3cc(O)cc(O)c3c2=O)-c2cc(O)c(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,Isomérico,Derivado flavonoide (miricitrin/myricetin) con efectos antiproliferativos y pro-apoptóticos en múltiples estudios preclínicos.,https://pubmed.ncbi.nlm.nih.gov/37083713/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/37340205/ 
53,Engeletina (engeletin),PubChem,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)O)O,Isomérico,"Actividad antitumoral descrita (inhibe proliferación, induce apoptosis y reduce invasión/metástasis en modelos celulares y animales).",https://pubmed.ncbi.nlm.nih.gov/32447208/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/38152488/ 
54,Friedelinol,PubChem,CC1C(CCC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C)C)O,Canónico,Pentaciclico triterpenoide relacionado con efectos pro-apoptóticos y citotoxicidad en células cancerosas (varios estudios in vitro/in vivo).,https://pubmed.ncbi.nlm.nih.gov/38067489/
,,,,,,https://pubmed.ncbi.nlm.nih.gov/28638870/ 
55,Ilexgenina A,PubChem,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H]([C@]5(C)C(=O)O)O)C)C)[C@@H]2[C@]1(C)O)C)C(=O)O,Isomérico,Ilexgenin A muestra actividad anti-angiogénica y antiproliferativa; reduce crecimiento tumoral en modelos preclínicos.,https://pubmed.ncbi.nlm.nih.gov/27986624/
,,,,,,
56,Quassin,Pubchem,C[C@@H]1C=C(C(=O)[C@]2([C@H]1C[C@@H]3[C@@]4([C@@H]2C(=O)C(=C([C@@H]4CC(=O)O3)C)OC)C)C)OC,Isomérico,"Inhibir la síntesis de proteínas mediante la inhibición de la actividad de la enzima peptidil-transferasa ribosómica que se encarga de elongar la cadena proteica, una función éster en C6 o C15, dos grupos hidroxilos libres y un puente oximetileno entre C8 y C11 o C13 en el anillo C. Según Fukamiya et al. (2005), la naturaleza de la cadena en C15 es muy importante en las propiedades antileucémicas y antimaláricas de los quasinoides, así como en su habilidad para inducir diferenciación celular.",https://www.redalyc.org/pdf/856/85670502.pdf
,,,,,,
